	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Gene stable ID
7426	11	65365226	65382853	MAP3K11	ENSG00000173327
8160	11	532242	537287	HRAS	ENSG00000174775
9565	3	169482308	169482848	TERC	ENSG00000270141
9638	8	38268656	38326352	FGFR1	ENSG00000077782
24034	22	29083731	29138410	CHEK2	ENSG00000183765
24820	3	165490692	165555260	BCHE	ENSG00000114200
25780	6	151977826	152450754	ESR1	ENSG00000091831
25801	11	108093211	108239829	ATM	ENSG00000149311
27720	7	140419127	140624564	BRAF	ENSG00000157764
28454	13	32889611	32973805	BRCA2	ENSG00000139618
29894	12	56473641	56497289	ERBB3	ENSG00000065361
30340	10	123237848	123357972	FGFR2	ENSG00000066468
30459	22	29999545	30094587	NF2	ENSG00000186575
30932	14	64550950	64804830	ESR2	ENSG00000140009
32089	3	167453031	167543356	SERPINI1	ENSG00000163536
32539	17	37844167	37886679	ERBB2	ENSG00000141736
33112	3	168801287	169381406	MECOM	ENSG00000085276
34077	2	202098166	202152434	CASP8	ENSG00000064012
34196	9	21967751	21995300	CDKN2A	ENSG00000147889
35754	3	178865902	178957881	PIK3CA	ENSG00000121879
35955	10	89622870	89731687	PTEN	ENSG00000171862
36319	19	8959520	9092018	MUC16	ENSG00000181143
39478	12	69201956	69239214	MDM2	ENSG00000135679
40595	3	142168077	142297668	ATR	ENSG00000175054
41037	3	169940153	170023769	PRKCI	ENSG00000163558
41718	13	48877887	49056122	RB1	ENSG00000139687
41947	12	389295	498620	KDM5A	ENSG00000073614
42370	19	30302805	30315215	CCNE1	ENSG00000105173
43380	7	116312444	116438440	MET	ENSG00000105976
43866	3	170606204	170626482	EIF5A2	ENSG00000163577
45853	11	69455855	69469242	CCND1	ENSG00000110092
46048	4	1795034	1810599	FGFR3	ENSG00000068078
46132	1	27022524	27108595	ARID1A	ENSG00000117713
50290	20	30252255	30311792	BCL2L1	ENSG00000171552
50620	9	140194083	140196703	NRARP	ENSG00000198435
50843	17	56769934	56811703	RAD51C	ENSG00000108384
50939	3	89156674	89531284	EPHA3	ENSG00000044524
50978	17	11924141	12047147	MAP2K4	ENSG00000065559
51161	17	29421945	29709134	NF1	ENSG00000196712
51243	1	235294949	235491534	ARID4B	ENSG00000054267
51318	8	56792372	56923940	LYN	ENSG00000254087
51544	12	58141510	58149796	CDK4	ENSG00000135446
53034	5	176513887	176525145	FGFR4	ENSG00000160867
53058	1	243651535	244014381	AKT3	ENSG00000117020
54219	5	151040657	151066726	SPARC	ENSG00000113140
54521	2	212240446	213403565	ERBB4	ENSG00000178568
55160	4	55095264	55164414	PDGFRA	ENSG00000134853
55169	2	215590370	215674428	BARD1	ENSG00000138376
55276	4	55524085	55606881	KIT	ENSG00000157404
55337	17	15932471	16121499	NCOR1	ENSG00000141027
55722	19	52693292	52730687	PPP2R1A	ENSG00000105568
56300	11	125495036	125546150	CHEK1	ENSG00000149554
56316	17	41196312	41277500	BRCA1	ENSG00000012048
56482	7	55086714	55324313	EGFR	ENSG00000146648
56606	12	4382938	4414516	CCND2	ENSG00000118971
56762	19	15270444	15311792	NOTCH3	ENSG00000074181
56974	14	105235686	105262088	AKT1	ENSG00000142208
57252	2	216225163	216300895	FN1	ENSG00000115414
57487	22	50683879	50700254	MAPK12	ENSG00000188130
57537	1	156030951	156040295	RAB25	ENSG00000132698
57913	8	128747680	128753674	MYC	ENSG00000136997
58693	8	80676245	80680098	HEY1	ENSG00000164683
59597	3	193853934	193856521	HES1	ENSG00000114315
59649	1	115247090	115259515	NRAS	ENSG00000213281
59828	20	44098346	44110172	WFDC2	ENSG00000101443
59918	12	25357723	25403870	KRAS	ENSG00000133703
60253	16	67596310	67673086	CTCF	ENSG00000102974
60483	17	7565097	7590856	TP53	ENSG00000141510
60674	5	67511548	67597649	PIK3R1	ENSG00000145675
