	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Gene stable ID
1	13	23551994	23552136	AL157931.1	ENSG00000223116
2	13	23708313	23708703	HMGA1P6	ENSG00000233440
3	13	23726725	23726825	RNY3P4	ENSG00000207157
4	13	23743974	23744736	LINC00362	ENSG00000229483
5	13	23791571	23791673	RNU6-58P	ENSG00000252952
6	13	23817659	23821323	TATDN2P3	ENSG00000235205
7	13	93708910	93710179	LINC00363	ENSG00000232849
8	13	23841645	23843289	SDAD1P4	ENSG00000236803
9	13	23947562	23948200	RPLP1P13	ENSG00000232163
10	13	94021100	94021213	SNORD22	ENSG00000252365
11	13	23993110	24002818	SACS-AS1	ENSG00000229558
12	13	94047230	94048108	HNRNPA1P29	ENSG00000235784
13	13	94470677	94488397	GPC6-AS2	ENSG00000224394
14	13	94677724	94677852	RNA5SP35	ENSG00000212559
15	13	24040710	24061603	LINC00327	ENSG00000232977
16	13	94806447	94840245	GPC6-AS1	ENSG00000236520
17	13	24072935	24077013	LINC00352	ENSG00000227893
18	13	95117554	95117644	AL139318.1	ENSG00000212057
19	13	95303651	95303783	RNA5SP36	ENSG00000222129
20	13	24340073	24340243	MTCO3P2	ENSG00000232102
21	13	95351479	95351756	RN7SL585P	ENSG00000242037
22	13	95351948	95355116	LINC00391	ENSG00000238230
23	13	95364970	95368500	SOX21-AS1	ENSG00000227640
24	13	24463028	24471402	C1QTNF9B-AS1	ENSG00000205861
25	13	95409705	95411526	BRD7P5	ENSG00000235768
26	13	95412807	95413269	RPL21P112	ENSG00000237924
27	13	95612295	95613573	LINC00557	ENSG00000260962
28	13	95671489	95671590	RNU6-62P	ENSG00000252335
29	13	95862598	95862702	snoU13	ENSG00000238463
30	13	95963084	95963209	RNY3P8	ENSG00000223298
31	13	24513696	24520921	ANKRD20A19P	ENSG00000196593
32	13	95988360	95988455	RNY4P27	ENSG00000200211
33	13	96046303	96046708	MEMO1P5	ENSG00000271492
34	13	96131698	96186164	CLDN10-AS1	ENSG00000223392
35	13	24553949	24609166	RP11-309I15.1	ENSG00000228741
36	13	96300987	96329179	DNAJC3-AS1	ENSG00000247400
37	13	24696204	24697953	IPO7P2	ENSG00000225674
38	13	96344792	96346226	MTND5P2	ENSG00000229622
39	13	24736555	24736643	MIR2276	ENSG00000252695
40	13	24826887	24828577	SPATA13-AS1	ENSG00000227213
41	13	96346237	96346749	MTND6P18	ENSG00000227714
42	13	24889863	24895736	C1QTNF9-AS1	ENSG00000240868
43	13	96346823	96347959	MTCYBP3	ENSG00000232373
44	13	24902349	24903210	NUS1P3	ENSG00000234627
45	13	96366931	96367032	snR65	ENSG00000251901
46	13	24905588	24911259	LINC00566	ENSG00000261498
47	13	96461564	96461861	HMGN1P24	ENSG00000226977
48	13	24974841	24975167	CYCSP33	ENSG00000233545
49	13	96821799	96822099	RN7SL164P	ENSG00000242614
50	13	97225913	97226753	AMMECR1LP1	ENSG00000233273
51	13	24982295	25171814	TPTE2P6	ENSG00000205822
52	13	97536096	97542067	HSP90AB6P	ENSG00000235137
53	13	97593535	97636426	LINC00359	ENSG00000243300
54	13	25129366	25129451	AL359538.2	ENSG00000266216
55	13	25140981	25144866	PSPC1P2	ENSG00000244615
56	13	97599891	97601181	TULP3P1	ENSG00000234267
57	13	25141011	25171814	RP11-556N21.1	ENSG00000243008
58	13	97600272	97601838	RP11-65L19.4	ENSG00000272329
59	13	25183217	25183313	AL359538.1	ENSG00000211508
60	13	97601503	97601787	RN7SKP7	ENSG00000222472
61	13	25277694	25277803	RNY1P7	ENSG00000207474
62	13	97618195	97618268	SNORD112	ENSG00000252154
63	13	25278476	25278926	RPL26P34	ENSG00000225404
64	13	97709633	97709734	snoU13	ENSG00000238522
65	13	97824723	97831876	LINC00456	ENSG00000233124
66	13	25316815	25320322	IRX1P1	ENSG00000231417
67	13	98015226	98015355	RNA5SP37	ENSG00000202290
68	13	98127996	98128713	PSMA6P4	ENSG00000271625
69	13	25324795	25326309	ANKRD20A10P	ENSG00000226695
70	13	98327265	98330217	RP11-120E13.1	ENSG00000226134
71	13	98538063	98538166	snoU13	ENSG00000238407
72	13	98553907	98554542	RPL7AP61	ENSG00000233291
73	13	98591610	98605793	RP11-383H17.4	ENSG00000270725
74	13	25498815	25542625	TPTE2P1	ENSG00000253771
75	13	98639204	98639470	FTLP8	ENSG00000232217
76	13	98856089	98856446	RN7SKP8	ENSG00000222969
77	13	98860778	98860854	MIR3170	ENSG00000263399
78	13	98885904	98886954	RP11-573N10.1	ENSG00000269189
79	13	98981909	98985490	RP11-261P24.2	ENSG00000269599
80	13	25517713	25518636	SLC25A15P3	ENSG00000251299
81	13	99087659	99088094	FARP1-AS1	ENSG00000231194
82	13	99205497	99206034	RP11-295B17.6	ENSG00000271437
83	13	25562715	25563063	RPL34P27	ENSG00000232858
84	13	99229498	99231084	STK24-AS1	ENSG00000224418
85	13	25715794	25716046	AL359757.1	ENSG00000256305
86	13	99262546	99263130	NUS1P4	ENSG00000217686
87	13	25746966	25754217	AMER2-AS1	ENSG00000234056
88	13	99281940	99282243	CYCSP35	ENSG00000233549
89	13	25755579	25763898	LINC01053	ENSG00000238169
90	13	99293068	99293493	CALM2P4	ENSG00000233662
91	13	25767245	25784433	LINC01076	ENSG00000225105
92	13	99324234	99324529	RN7SL60P	ENSG00000243366
93	13	25780187	25780644	RPL23AP69	ENSG00000235315
94	13	99484338	99486883	DOCK9-AS1	ENSG00000229918
96	13	25820669	25820753	AL590787.1	ENSG00000221324
97	13	25874262	25875576	RP11-271M24.2	ENSG00000260509
98	13	99601973	99602701	RPL7L1P12	ENSG00000231981
99	13	25939937	25940293	TCEB2P1	ENSG00000234152
100	13	26027137	26027428	RN7SL289P	ENSG00000265546
102	13	99677488	99677599	RNU6-83P	ENSG00000207298
103	13	26091257	26091363	RNU6-78P	ENSG00000199767
104	13	99740073	99740879	DOCK9-AS2	ENSG00000260992
105	13	26437388	26437805	RP11-467D10.2	ENSG00000180803
106	13	99825847	99826744	RPS6P23	ENSG00000230871
107	13	26518632	26518891	RN7SL741P	ENSG00000242381
109	13	26524842	26524959	RNY1P3	ENSG00000223158
110	13	26626414	26627523	LINC00415	ENSG00000231983
111	13	99842833	99843245	GAPDHP22	ENSG00000234005
112	13	99848631	99852964	UBAC2-AS1	ENSG00000228889
113	13	26688547	26728313	ATP8A2P3	ENSG00000233963
114	13	99857962	99858260	RN7SKP9	ENSG00000201793
115	13	99867626	99868012	H2AFZP3	ENSG00000218502
116	13	100008385	100008482	MIR623	ENSG00000207719
117	13	26691686	26693102	PRUNEP1	ENSG00000234706
118	13	100024427	100024940	HMGB3P4	ENSG00000228808
119	13	26803469	26803781	RP11-380N8.6	ENSG00000271559
120	13	100060035	100061316	CCR12P	ENSG00000238241
121	13	26808350	26811266	PRKRIRP6	ENSG00000227882
122	13	100105650	100105723	AL583784.1	ENSG00000266207
123	13	100151981	100153306	LINC00449	ENSG00000203441
124	13	27151023	27151812	RPS3AP44	ENSG00000234031
125	13	100188573	100188650	RNY3P6	ENSG00000212197
126	13	100229366	100232622	LINC01039	ENSG00000234168
127	13	27180681	27215501	WASF3-AS1	ENSG00000237001
128	13	100234960	100235434	CFL1P8	ENSG00000234239
129	13	27479499	27479998	FGFR1OP2P1	ENSG00000230256
130	13	27551680	27551926	RPS21P8	ENSG00000223782
131	13	100295313	100295403	MIR4306	ENSG00000263615
132	13	27591688	27592046	RPS20P32	ENSG00000218198
133	13	100342335	100343225	CLYBL-AS2	ENSG00000227659
134	13	27736992	27743272	USP12-AS1	ENSG00000232162
135	13	100378501	100379745	CLYBL-AS1	ENSG00000234303
136	13	27746396	27757135	USP12-AS2	ENSG00000230641
137	13	27810419	27810948	LINC00412	ENSG00000234772
138	13	100436111	100436237	SNORA25	ENSG00000201245
139	13	100436308	100436411	snoU13	ENSG00000238305
140	13	27829201	27829272	SNORD102	ENSG00000207500
141	13	100647153	100650163	LINC00554	ENSG00000260738
142	13	27829538	27829663	SNORA27	ENSG00000207051
143	13	27894150	27894296	AL159977.1	ENSG00000221756
144	13	100680023	100680428	NDUFA12P1	ENSG00000225999
145	13	27917785	27917883	RNU6-70P	ENSG00000252247
146	13	27947485	27948503	LINC01079	ENSG00000229609
147	13	100714550	100715855	ASNSP3	ENSG00000236554
148	13	27976613	27976724	RNY1P1	ENSG00000201242
149	13	28008286	28008752	AL137059.1	ENSG00000203602
150	13	28062275	28062369	RNU6-63P	ENSG00000252499
151	13	100802735	100803346	RPL15P18	ENSG00000228501
152	13	28270530	28271341	NPM1P4	ENSG00000226703
154	13	100850441	100850723	RP11-340C20.3	ENSG00000270632
155	13	28402900	28403006	RNU6-73P	ENSG00000207330
156	13	101116694	101133411	PCCA-AS1	ENSG00000234650
157	13	28407581	28495541	PDX1-AS1	ENSG00000247381
158	13	28527663	28529507	LINC00543	ENSG00000260704
159	13	28563435	28563721	RN7SL272P	ENSG00000242360
160	13	101187995	101232371	RP11-151A6.4	ENSG00000224356
161	13	28641724	28642471	KATNBL1P1	ENSG00000271026
162	13	28681568	28682014	CHCHD2P8	ENSG00000235115
163	13	101192089	101192528	RPS26P47	ENSG00000234354
164	13	28710980	28712330	PAN3-AS1	ENSG00000261485
165	13	101276129	101276683	COX5BP6	ENSG00000237082
166	13	28788650	28790034	EEF1A1P3	ENSG00000232587
167	13	28806638	28806744	RNU6-82P	ENSG00000200840
168	13	101360579	101711638	NALCN-AS1	ENSG00000233009
169	13	29172970	29174189	EIF4A1P7	ENSG00000235472
170	13	29277839	29277944	RNU6-53P	ENSG00000202237
171	13	101408805	101409313	ARF4P3	ENSG00000214051
172	13	29296523	29298158	CYP51A1P2	ENSG00000233588
173	13	101593116	101596618	LINC00411	ENSG00000229599
174	13	29352695	29353074	POM121L13P	ENSG00000236339
175	13	102369198	102369728	RP11-397O8.7	ENSG00000272349
176	13	29796699	29796778	AL596092.1	ENSG00000221670
177	13	102431234	102431398	RNU1-24P	ENSG00000201155
178	13	29813516	29824691	MTUS2-AS2	ENSG00000236758
179	13	102454228	102454838	HMGB3P7	ENSG00000215399
180	13	102619992	102620096	MIR2681	ENSG00000265164
181	13	29880915	29881922	GAPDHP69	ENSG00000223460
182	13	102654475	102655660	LIPT1P1	ENSG00000229975
183	13	29913703	29914006	RP11-351N4.4	ENSG00000270680
184	13	102669303	102669419	RNY1P2	ENSG00000201690
185	13	30050652	30064242	MTUS2-AS1	ENSG00000179141
186	13	102698284	102698354	MIR4705	ENSG00000264482
187	13	102915396	102915552	RPL39P29	ENSG00000236860
188	13	30440096	30440306	TIMM8BP1	ENSG00000236258
189	13	30446750	30462542	LINC00297	ENSG00000224329
190	13	102944677	103046869	FGF14-IT1	ENSG00000243319
191	13	30492784	30500788	LINC00572	ENSG00000224405
192	13	103019889	103026016	FGF14-AS1	ENSG00000234445
193	13	30510042	30524625	LINC00544	ENSG00000122043
194	13	103046980	103048053	FGF14-AS2	ENSG00000272143
195	13	30596158	30597937	RP11-629E24.2	ENSG00000266505
196	13	103053821	103054807	RP11-811P12.3	ENSG00000270581
197	13	103241722	103242163	LINC00555	ENSG00000261057
198	13	30677315	30683012	LINC00365	ENSG00000224511
199	13	103331776	103332308	RP11-29B2.5	ENSG00000269942
200	13	30726023	30733758	LINC00384	ENSG00000232117
201	13	103374152	103374255	snoU13	ENSG00000238869
202	13	103395340	103397574	LINC00283	ENSG00000231633
203	13	30728203	30728723	LINC00385	ENSG00000232643
204	13	103472343	103472419	RNY5P8	ENSG00000222301
